skin_name,weapon_type,base_price_vp,discount_percent,final_price_vp,region,rank,age_group,avg_monthly_spend,previous_purchases,wishlist_added,event_active,purchased
Araxys,Vandal,2175,0,2175.0,Asia,Immortal,16-20,674,12,0,1,False
Nocturnum,Marshal,2175,20,1740.0,Asia,Bronze,16-20,3474,18,1,1,True
Prime,Guardian,1775,30,1242.5,Asia,Radiant,16-20,2447,10,1,0,True
Araxys,Vandal,2175,0,2175.0,Asia,Iron,26-30,3471,2,0,1,False
Overdrive,Stinger,2175,20,1740.0,NA,Silver,26-30,4074,8,1,0,False
Singularity,Ares,2175,10,1957.5,EU,Immortal,21-25,4754,15,0,1,False
Prime,Guardian,1775,10,1597.5,EU,Iron,16-20,1094,20,1,0,False
Radiant,Ghost,2975,30,2082.5,EU,Immortal,26-30,1549,18,0,0,False
Oni,Bulldog,1775,30,1242.5,Asia,Platinum,26-30,2059,8,1,0,True
RGX,Operator,2175,30,1522.5,NA,Radiant,16-20,4276,14,1,1,True
Elderflame,Frenzy,2475,20,1980.0,Asia,Bronze,16-20,4434,16,0,0,False
Oni,Bulldog,1775,20,1420.0,NA,Immortal,16-20,3441,14,0,1,True
Prime,Guardian,1775,30,1242.5,Asia,Iron,16-20,3738,6,0,1,True
Oni,Bulldog,1775,0,1775.0,EU,Diamond,16-20,1857,9,0,1,False
Neptune,Odin,1775,10,1597.5,Asia,Diamond,21-25,1711,8,1,0,True
Radiant,Ghost,2975,30,2082.5,Asia,Diamond,26-30,768,14,1,0,True
Araxys,Vandal,2175,10,1957.5,EU,Bronze,21-25,3901,9,0,0,False
Reaver,Bandit,1775,10,1597.5,EU,Immortal,21-25,1590,0,1,0,False
Araxys,Vandal,2175,20,1740.0,EU,Silver,21-25,844,11,1,1,False
Kuronami,Sheriff,2375,30,1662.5,EU,Bronze,21-25,4613,13,0,1,True
Elderflame,Frenzy,2475,0,2475.0,Asia,Iron,16-20,2385,8,0,0,False
Spectrum,Phantom,2675,20,2140.0,NA,Radiant,21-25,4894,14,1,1,False
Mystbloom,Outlaw,2175,20,1740.0,NA,Platinum,16-20,3753,2,1,1,False
Mystbloom,Outlaw,2175,20,1740.0,Asia,Iron,26-30,572,15,1,1,True
Singularity,Ares,2175,30,1522.5,EU,Diamond,16-20,4481,13,1,1,True
Radiant,Ghost,2975,30,2082.5,NA,Bronze,26-30,3465,20,1,0,True
Gaia,Vandal,1775,0,1775.0,EU,Platinum,26-30,3158,16,0,1,False
Prime,Guardian,1775,0,1775.0,Asia,Immortal,21-25,3617,3,0,0,True
Forsaken,Spectre,1775,10,1597.5,NA,Gold,16-20,2707,20,0,1,False
Mystbloom,Outlaw,2175,30,1522.5,NA,Platinum,21-25,976,1,0,0,True
Gaia,Vandal,1775,0,1775.0,Asia,Silver,21-25,4511,0,1,1,True
Araxys,Vandal,2175,10,1957.5,NA,Bronze,26-30,3347,16,1,1,True
Kuronami,Sheriff,2375,30,1662.5,EU,Silver,16-20,1005,5,0,1,False
Ion,Bucky,1775,10,1597.5,NA,Radiant,21-25,2491,12,0,0,False
Spectrum,Phantom,2675,30,1872.4999999999998,Asia,Silver,16-20,1866,3,0,1,False
Singularity,Ares,2175,10,1957.5,NA,Gold,16-20,2001,0,0,0,False
Ion,Bucky,1775,20,1420.0,Asia,Radiant,21-25,3373,17,1,0,True
Mystbloom,Outlaw,2175,30,1522.5,EU,Bronze,21-25,1133,13,0,0,False
Spectrum,Phantom,2675,0,2675.0,EU,Immortal,16-20,1965,2,0,0,False
Kuronami,Sheriff,2375,10,2137.5,NA,Silver,16-20,4216,5,1,1,False
Ion,Bucky,1775,20,1420.0,Asia,Platinum,26-30,2791,15,1,0,True
Singularity,Ares,2175,10,1957.5,EU,Radiant,26-30,4114,0,0,0,False
Mystbloom,Outlaw,2175,20,1740.0,Asia,Platinum,16-20,1595,11,1,1,False
Evori,Melee,4950,20,3960.0,NA,Immortal,21-25,4932,9,1,0,False
Spectrum,Phantom,2675,0,2675.0,NA,Bronze,21-25,1927,12,1,1,True
Reaver,Bandit,1775,20,1420.0,EU,Iron,16-20,3795,15,0,1,True
Araxys,Vandal,2175,0,2175.0,Asia,Gold,26-30,3139,1,0,0,True
Overdrive,Stinger,2175,10,1957.5,NA,Radiant,21-25,1467,6,0,1,False
Nocturnum,Marshal,2175,0,2175.0,EU,Diamond,16-20,852,19,0,0,False
Forsaken,Spectre,1775,0,1775.0,Asia,Bronze,26-30,1003,10,1,0,False
Glitchpop,Classic,2175,30,1522.5,Asia,Bronze,26-30,4502,14,0,0,False
Overdrive,Stinger,2175,10,1957.5,NA,Radiant,21-25,3493,0,1,1,True
Elderflame,Frenzy,2475,20,1980.0,Asia,Platinum,21-25,4798,7,1,1,True
Spectrum,Phantom,2675,10,2407.5,Asia,Iron,16-20,3870,5,1,1,False
Evori,Melee,4950,0,4950.0,NA,Platinum,16-20,1332,15,0,0,False
Ion,Bucky,1775,10,1597.5,Asia,Platinum,21-25,2240,13,0,0,False
Elderflame,Frenzy,2475,10,2227.5,EU,Bronze,21-25,783,6,0,1,False
Mystbloom,Outlaw,2175,20,1740.0,Asia,Radiant,26-30,3339,3,1,0,False
Ora,Sheriff,2475,0,2475.0,EU,Platinum,21-25,683,13,1,0,False
Ora,Sheriff,2475,0,2475.0,EU,Platinum,21-25,2532,2,1,0,False
Araxys,Vandal,2175,20,1740.0,NA,Bronze,26-30,718,7,0,1,False
Mystbloom,Outlaw,2175,20,1740.0,EU,Radiant,21-25,4878,20,1,0,True
Elderflame,Frenzy,2475,10,2227.5,EU,Immortal,26-30,2254,0,1,1,False
Gaia,Vandal,1775,0,1775.0,NA,Platinum,26-30,4685,12,0,0,False
RGX,Operator,2175,0,2175.0,EU,Gold,16-20,1674,8,1,1,False
Imperium,Judge,2175,20,1740.0,NA,Radiant,26-30,3823,6,0,0,False
Kuronami,Sheriff,2375,10,2137.5,NA,Gold,26-30,3954,14,1,0,True
Oni,Bulldog,1775,20,1420.0,NA,Gold,16-20,4351,2,1,0,True
Neptune,Odin,1775,30,1242.5,Asia,Gold,21-25,1649,18,0,1,True
Evori,Melee,4950,0,4950.0,NA,Immortal,21-25,4622,12,1,0,False
Elderflame,Frenzy,2475,30,1732.5,Asia,Radiant,16-20,2483,13,1,0,False
Overdrive,Stinger,2175,10,1957.5,EU,Silver,26-30,1827,2,1,0,True
Mystbloom,Outlaw,2175,30,1522.5,EU,Immortal,26-30,2385,5,0,0,False
Singularity,Ares,2175,10,1957.5,EU,Bronze,16-20,2092,3,1,0,True
Mystbloom,Outlaw,2175,10,1957.5,EU,Iron,21-25,3081,18,0,0,False
Reaver,Bandit,1775,20,1420.0,EU,Platinum,26-30,2981,6,0,1,False
Araxys,Vandal,2175,30,1522.5,Asia,Bronze,21-25,2215,14,0,0,True
Prime,Guardian,1775,20,1420.0,NA,Gold,26-30,4342,0,0,1,False
Elderflame,Frenzy,2475,20,1980.0,EU,Immortal,26-30,2284,20,0,0,False
Oni,Bulldog,1775,10,1597.5,NA,Iron,26-30,2009,6,0,0,False
Overdrive,Stinger,2175,0,2175.0,Asia,Silver,21-25,2773,12,1,1,False
Singularity,Ares,2175,30,1522.5,EU,Diamond,16-20,2262,17,1,0,True
Forsaken,Spectre,1775,20,1420.0,NA,Gold,26-30,4569,10,1,0,True
Elderflame,Frenzy,2475,0,2475.0,Asia,Bronze,21-25,4731,6,0,1,False
Mystbloom,Outlaw,2175,30,1522.5,EU,Iron,16-20,625,6,0,1,False
Oni,Bulldog,1775,0,1775.0,NA,Silver,26-30,3627,1,1,1,False
Ora,Sheriff,2475,20,1980.0,EU,Radiant,16-20,2611,20,0,0,False
Wasteland,Shorty,1275,20,1020.0,NA,Silver,16-20,2145,19,1,0,True
Reaver,Bandit,1775,10,1597.5,NA,Platinum,16-20,680,1,1,0,False
Prime,Guardian,1775,30,1242.5,Asia,Platinum,16-20,1173,9,1,1,False
Radiant,Ghost,2975,10,2677.5,Asia,Gold,21-25,3721,13,0,1,False
Araxys,Vandal,2175,30,1522.5,NA,Gold,21-25,1278,7,1,0,False
Ion,Bucky,1775,20,1420.0,NA,Iron,16-20,3524,3,0,0,True
Reaver,Bandit,1775,20,1420.0,Asia,Bronze,21-25,4760,8,1,1,True
Oni,Bulldog,1775,0,1775.0,EU,Immortal,16-20,3203,1,1,0,False
Overdrive,Stinger,2175,20,1740.0,EU,Bronze,26-30,2446,4,0,1,False
Kuronami,Sheriff,2375,30,1662.5,NA,Platinum,21-25,646,11,0,1,False
Spectrum,Phantom,2675,0,2675.0,Asia,Iron,26-30,2166,14,0,0,False
Radiant,Ghost,2975,10,2677.5,NA,Immortal,21-25,4132,4,1,1,True
Ion,Bucky,1775,20,1420.0,Asia,Iron,16-20,3475,4,0,1,True
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Immortal,26-30,2259,7,0,0,False
Oni,Bulldog,1775,20,1420.0,Asia,Bronze,21-25,3530,0,0,0,False
Mystbloom,Outlaw,2175,20,1740.0,EU,Immortal,21-25,2843,20,0,0,True
Wasteland,Shorty,1275,20,1020.0,EU,Platinum,16-20,2807,11,0,1,False
Forsaken,Spectre,1775,0,1775.0,EU,Platinum,21-25,1040,4,0,0,False
Elderflame,Frenzy,2475,10,2227.5,NA,Iron,26-30,2862,11,1,0,False
Oni,Bulldog,1775,10,1597.5,Asia,Radiant,26-30,1375,10,0,1,False
Oni,Bulldog,1775,0,1775.0,EU,Bronze,16-20,2685,3,0,0,True
Araxys,Vandal,2175,30,1522.5,NA,Radiant,16-20,3348,11,1,1,True
Oni,Bulldog,1775,10,1597.5,NA,Diamond,26-30,571,15,0,1,False
Mystbloom,Outlaw,2175,0,2175.0,NA,Platinum,21-25,2476,18,0,1,True
Singularity,Ares,2175,10,1957.5,EU,Silver,16-20,2623,14,0,0,False
Neptune,Odin,1775,10,1597.5,Asia,Immortal,26-30,2393,16,1,0,False
Singularity,Ares,2175,10,1957.5,NA,Radiant,16-20,1951,13,0,0,False
Gaia,Vandal,1775,20,1420.0,Asia,Diamond,26-30,3661,8,0,1,True
Prime,Guardian,1775,10,1597.5,Asia,Gold,26-30,3318,16,1,1,True
Singularity,Ares,2175,20,1740.0,NA,Diamond,16-20,3676,7,0,1,False
Ora,Sheriff,2475,10,2227.5,NA,Silver,16-20,2786,0,1,0,True
Kuronami,Sheriff,2375,20,1900.0,NA,Gold,16-20,2018,4,0,0,False
Neptune,Odin,1775,20,1420.0,NA,Iron,26-30,4263,17,1,1,False
Wasteland,Shorty,1275,0,1275.0,EU,Radiant,21-25,3147,13,0,1,False
Gaia,Vandal,1775,0,1775.0,NA,Diamond,26-30,1696,11,1,0,False
Neptune,Odin,1775,30,1242.5,NA,Platinum,16-20,4785,18,1,1,False
RGX,Operator,2175,20,1740.0,Asia,Radiant,26-30,1023,14,1,1,True
Oni,Bulldog,1775,30,1242.5,NA,Gold,21-25,2757,2,0,1,False
Reaver,Bandit,1775,20,1420.0,EU,Iron,21-25,4721,7,1,1,True
Gaia,Vandal,1775,30,1242.5,Asia,Immortal,26-30,4227,16,0,0,False
Ora,Sheriff,2475,20,1980.0,NA,Radiant,21-25,3999,1,0,1,True
Singularity,Ares,2175,0,2175.0,NA,Immortal,16-20,1472,6,0,1,False
Glitchpop,Classic,2175,0,2175.0,NA,Bronze,21-25,630,0,0,0,True
Evori,Melee,4950,20,3960.0,NA,Radiant,16-20,4166,20,1,1,False
Forsaken,Spectre,1775,10,1597.5,EU,Immortal,26-30,1985,5,1,1,True
Spectrum,Phantom,2675,10,2407.5,NA,Radiant,26-30,4752,4,1,1,False
Elderflame,Frenzy,2475,20,1980.0,NA,Diamond,26-30,2693,18,1,0,False
Neptune,Odin,1775,0,1775.0,EU,Immortal,16-20,2954,5,0,1,False
Prime,Guardian,1775,0,1775.0,NA,Bronze,21-25,1248,8,1,1,False
Ion,Bucky,1775,0,1775.0,Asia,Silver,21-25,3756,16,1,0,True
Araxys,Vandal,2175,20,1740.0,Asia,Radiant,21-25,4011,4,0,0,False
Elderflame,Frenzy,2475,30,1732.5,NA,Gold,26-30,1259,4,0,0,True
Elderflame,Frenzy,2475,20,1980.0,EU,Immortal,21-25,2531,11,0,0,False
Spectrum,Phantom,2675,20,2140.0,NA,Gold,26-30,2893,16,0,1,True
Mystbloom,Outlaw,2175,10,1957.5,NA,Iron,26-30,4292,7,0,0,False
RGX,Operator,2175,10,1957.5,Asia,Silver,26-30,1021,8,1,1,False
Spectrum,Phantom,2675,30,1872.4999999999998,EU,Bronze,16-20,4544,16,1,0,True
Neptune,Odin,1775,20,1420.0,NA,Bronze,26-30,3752,10,0,1,False
Kuronami,Sheriff,2375,30,1662.5,Asia,Bronze,21-25,4479,14,1,0,False
Mystbloom,Outlaw,2175,20,1740.0,EU,Radiant,26-30,1865,15,1,0,True
Neptune,Odin,1775,30,1242.5,EU,Diamond,26-30,1940,4,0,1,False
Forsaken,Spectre,1775,10,1597.5,EU,Silver,26-30,2352,5,0,0,True
Glitchpop,Classic,2175,10,1957.5,Asia,Silver,26-30,4318,13,1,0,True
Radiant,Ghost,2975,30,2082.5,EU,Platinum,21-25,4129,3,1,1,True
Araxys,Vandal,2175,30,1522.5,Asia,Gold,16-20,1700,9,0,1,True
Prime,Guardian,1775,20,1420.0,EU,Radiant,21-25,3510,7,1,0,False
Glitchpop,Classic,2175,20,1740.0,NA,Iron,26-30,3536,16,0,1,False
Nocturnum,Marshal,2175,10,1957.5,EU,Iron,16-20,1470,14,1,1,False
Forsaken,Spectre,1775,20,1420.0,NA,Gold,21-25,3708,11,0,1,True
Reaver,Bandit,1775,0,1775.0,EU,Gold,26-30,2585,2,1,0,True
Oni,Bulldog,1775,10,1597.5,NA,Silver,21-25,3501,0,0,0,True
Nocturnum,Marshal,2175,0,2175.0,EU,Iron,16-20,2478,10,1,1,True
Nocturnum,Marshal,2175,20,1740.0,Asia,Silver,16-20,3548,7,0,0,False
Imperium,Judge,2175,10,1957.5,EU,Gold,16-20,2685,7,1,0,False
Araxys,Vandal,2175,20,1740.0,EU,Platinum,21-25,2738,8,1,0,True
Spectrum,Phantom,2675,30,1872.4999999999998,EU,Diamond,26-30,4983,0,1,1,False
Gaia,Vandal,1775,10,1597.5,NA,Platinum,26-30,1756,19,1,0,True
Wasteland,Shorty,1275,30,892.5,NA,Bronze,21-25,2403,5,1,0,True
Forsaken,Spectre,1775,20,1420.0,NA,Silver,26-30,2493,13,0,1,False
Elderflame,Frenzy,2475,0,2475.0,NA,Iron,26-30,2839,20,1,1,True
Elderflame,Frenzy,2475,0,2475.0,Asia,Silver,26-30,1151,15,0,1,False
RGX,Operator,2175,0,2175.0,NA,Immortal,16-20,3931,19,1,0,True
Reaver,Bandit,1775,30,1242.5,EU,Silver,21-25,918,16,0,1,True
Nocturnum,Marshal,2175,10,1957.5,NA,Platinum,21-25,3314,5,0,1,True
Gaia,Vandal,1775,10,1597.5,NA,Platinum,21-25,3285,8,0,0,False
RGX,Operator,2175,20,1740.0,NA,Iron,26-30,1996,1,1,0,False
Glitchpop,Classic,2175,10,1957.5,Asia,Iron,16-20,4389,10,1,0,True
Neptune,Odin,1775,0,1775.0,NA,Gold,21-25,3086,13,1,1,True
Reaver,Bandit,1775,30,1242.5,Asia,Radiant,26-30,2058,11,1,1,True
Prime,Guardian,1775,30,1242.5,Asia,Iron,26-30,2519,6,1,1,True
Mystbloom,Outlaw,2175,20,1740.0,NA,Iron,16-20,1407,16,1,0,False
Radiant,Ghost,2975,0,2975.0,EU,Bronze,26-30,919,12,1,0,True
Ora,Sheriff,2475,30,1732.5,EU,Bronze,21-25,4918,16,0,1,False
Evori,Melee,4950,30,3465.0,EU,Silver,26-30,1259,18,0,0,True
Evori,Melee,4950,20,3960.0,EU,Silver,16-20,3290,19,0,1,False
Wasteland,Shorty,1275,30,892.5,NA,Platinum,16-20,2970,15,1,0,True
RGX,Operator,2175,10,1957.5,NA,Radiant,21-25,1939,6,1,0,False
Reaver,Bandit,1775,10,1597.5,Asia,Platinum,26-30,2996,17,0,1,True
Elderflame,Frenzy,2475,20,1980.0,NA,Gold,16-20,4476,19,0,1,True
Ora,Sheriff,2475,0,2475.0,Asia,Iron,26-30,3567,20,1,0,False
Ora,Sheriff,2475,30,1732.5,EU,Diamond,26-30,4443,15,1,0,False
Ion,Bucky,1775,20,1420.0,Asia,Gold,26-30,3388,8,1,0,False
Imperium,Judge,2175,0,2175.0,EU,Iron,26-30,1343,5,1,0,True
Oni,Bulldog,1775,10,1597.5,Asia,Immortal,26-30,4614,20,1,0,True
Oni,Bulldog,1775,30,1242.5,Asia,Bronze,16-20,3368,0,1,0,True
Ion,Bucky,1775,0,1775.0,NA,Platinum,16-20,1203,4,1,1,False
Overdrive,Stinger,2175,20,1740.0,EU,Radiant,21-25,1130,3,0,0,False
Prime,Guardian,1775,10,1597.5,NA,Bronze,16-20,2580,8,0,1,True
Overdrive,Stinger,2175,20,1740.0,Asia,Immortal,26-30,4811,6,1,1,True
Spectrum,Phantom,2675,0,2675.0,Asia,Diamond,26-30,1062,12,0,0,False
Ion,Bucky,1775,20,1420.0,EU,Radiant,26-30,4972,6,0,0,True
Wasteland,Shorty,1275,0,1275.0,NA,Immortal,21-25,4955,1,0,1,True
Singularity,Ares,2175,20,1740.0,NA,Platinum,26-30,2038,11,0,0,True
Forsaken,Spectre,1775,20,1420.0,EU,Gold,21-25,3671,4,0,0,True
Glitchpop,Classic,2175,30,1522.5,Asia,Platinum,16-20,4566,15,1,0,True
Reaver,Bandit,1775,30,1242.5,Asia,Bronze,21-25,2692,20,0,1,False
Spectrum,Phantom,2675,0,2675.0,EU,Gold,21-25,1852,15,1,0,True
Elderflame,Frenzy,2475,30,1732.5,EU,Silver,26-30,1740,0,0,1,False
Spectrum,Phantom,2675,20,2140.0,EU,Iron,26-30,2472,20,1,0,True
Forsaken,Spectre,1775,0,1775.0,NA,Iron,16-20,3932,20,1,0,False
Araxys,Vandal,2175,20,1740.0,EU,Bronze,26-30,4140,2,0,0,False
Prime,Guardian,1775,30,1242.5,EU,Radiant,26-30,1503,11,1,0,False
Ora,Sheriff,2475,0,2475.0,NA,Radiant,21-25,3243,10,1,1,False
Radiant,Ghost,2975,10,2677.5,EU,Diamond,16-20,4389,18,0,0,True
Ion,Bucky,1775,30,1242.5,EU,Diamond,21-25,617,10,0,1,False
Kuronami,Sheriff,2375,10,2137.5,NA,Radiant,21-25,2187,0,1,1,True
Neptune,Odin,1775,10,1597.5,EU,Diamond,26-30,4520,4,0,1,True
Elderflame,Frenzy,2475,30,1732.5,Asia,Platinum,16-20,4919,14,0,0,True
Overdrive,Stinger,2175,10,1957.5,NA,Platinum,21-25,1142,19,1,0,False
Ora,Sheriff,2475,10,2227.5,EU,Radiant,26-30,1602,1,1,1,True
Prime,Guardian,1775,0,1775.0,NA,Gold,16-20,906,16,1,1,False
Glitchpop,Classic,2175,20,1740.0,EU,Immortal,26-30,3730,5,0,1,False
Ion,Bucky,1775,20,1420.0,EU,Iron,26-30,1785,15,1,1,False
Oni,Bulldog,1775,30,1242.5,NA,Bronze,16-20,4367,18,1,0,True
Glitchpop,Classic,2175,20,1740.0,EU,Iron,21-25,3477,6,1,0,False
Reaver,Bandit,1775,20,1420.0,Asia,Diamond,26-30,657,19,1,1,False
Ion,Bucky,1775,30,1242.5,EU,Gold,16-20,1016,19,1,0,False
Forsaken,Spectre,1775,0,1775.0,EU,Bronze,16-20,3890,8,0,0,True
Overdrive,Stinger,2175,10,1957.5,Asia,Silver,21-25,3995,8,1,1,False
Nocturnum,Marshal,2175,30,1522.5,EU,Iron,21-25,4308,11,0,0,False
Ion,Bucky,1775,0,1775.0,Asia,Platinum,16-20,2259,6,0,0,True
Araxys,Vandal,2175,20,1740.0,Asia,Radiant,26-30,1096,0,1,1,False
Ora,Sheriff,2475,0,2475.0,Asia,Silver,16-20,2546,17,0,1,False
Gaia,Vandal,1775,20,1420.0,Asia,Diamond,21-25,3972,6,1,1,False
Glitchpop,Classic,2175,0,2175.0,Asia,Iron,16-20,4313,11,0,0,False
Spectrum,Phantom,2675,0,2675.0,Asia,Immortal,21-25,2680,19,0,0,False
Oni,Bulldog,1775,30,1242.5,Asia,Diamond,21-25,3794,4,1,0,False
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Immortal,16-20,2740,7,0,0,True
Overdrive,Stinger,2175,0,2175.0,EU,Iron,16-20,696,17,1,1,True
Spectrum,Phantom,2675,20,2140.0,NA,Gold,16-20,3414,13,0,0,False
Glitchpop,Classic,2175,20,1740.0,Asia,Gold,21-25,3727,18,1,1,False
Araxys,Vandal,2175,0,2175.0,EU,Immortal,16-20,2663,19,1,0,False
Glitchpop,Classic,2175,10,1957.5,Asia,Radiant,21-25,2263,18,1,0,True
Singularity,Ares,2175,0,2175.0,NA,Diamond,21-25,4405,9,1,0,True
Elderflame,Frenzy,2475,20,1980.0,EU,Iron,26-30,2040,17,1,1,False
Radiant,Ghost,2975,20,2380.0,Asia,Iron,21-25,4224,7,1,1,False
Mystbloom,Outlaw,2175,30,1522.5,Asia,Radiant,26-30,1280,4,0,1,False
Mystbloom,Outlaw,2175,0,2175.0,Asia,Gold,21-25,4664,9,1,1,False
Ion,Bucky,1775,30,1242.5,NA,Silver,21-25,916,2,0,1,True
Oni,Bulldog,1775,20,1420.0,Asia,Gold,26-30,2346,12,1,1,False
Reaver,Bandit,1775,20,1420.0,Asia,Radiant,21-25,2272,18,0,0,True
Kuronami,Sheriff,2375,0,2375.0,EU,Silver,16-20,3328,12,0,0,False
RGX,Operator,2175,0,2175.0,NA,Iron,26-30,1578,2,0,1,False
Prime,Guardian,1775,10,1597.5,EU,Iron,16-20,1584,0,1,1,True
Reaver,Bandit,1775,20,1420.0,EU,Platinum,16-20,3575,1,0,0,True
Radiant,Ghost,2975,20,2380.0,Asia,Gold,16-20,2108,5,0,0,True
Prime,Guardian,1775,10,1597.5,Asia,Immortal,21-25,4231,5,1,0,False
Radiant,Ghost,2975,30,2082.5,EU,Diamond,21-25,4143,3,1,0,False
Evori,Melee,4950,10,4455.0,EU,Immortal,21-25,2007,10,0,1,False
Singularity,Ares,2175,0,2175.0,NA,Bronze,26-30,1727,13,1,0,False
Mystbloom,Outlaw,2175,10,1957.5,NA,Silver,21-25,1932,14,1,1,False
Gaia,Vandal,1775,20,1420.0,EU,Silver,26-30,3501,18,0,0,False
Wasteland,Shorty,1275,30,892.5,Asia,Platinum,26-30,1038,12,0,0,False
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Immortal,16-20,3570,19,1,0,False
Ora,Sheriff,2475,10,2227.5,NA,Platinum,21-25,3996,10,0,1,True
Ion,Bucky,1775,0,1775.0,Asia,Gold,16-20,3745,1,1,1,False
Araxys,Vandal,2175,30,1522.5,NA,Iron,21-25,1162,1,0,0,False
Oni,Bulldog,1775,30,1242.5,NA,Platinum,21-25,3361,5,0,0,False
Elderflame,Frenzy,2475,10,2227.5,Asia,Iron,21-25,4876,16,1,0,False
Reaver,Bandit,1775,30,1242.5,EU,Platinum,26-30,1360,10,1,1,False
Singularity,Ares,2175,0,2175.0,NA,Iron,21-25,683,15,0,1,True
Nocturnum,Marshal,2175,20,1740.0,Asia,Platinum,21-25,2599,14,1,0,False
Gaia,Vandal,1775,30,1242.5,NA,Radiant,16-20,997,9,1,0,True
Oni,Bulldog,1775,10,1597.5,Asia,Radiant,16-20,3990,2,1,1,False
Overdrive,Stinger,2175,30,1522.5,EU,Radiant,16-20,4451,5,0,1,True
Gaia,Vandal,1775,10,1597.5,Asia,Platinum,26-30,3319,18,0,0,True
RGX,Operator,2175,10,1957.5,EU,Radiant,26-30,1120,5,1,1,False
Elderflame,Frenzy,2475,10,2227.5,NA,Gold,16-20,4606,6,0,0,False
Kuronami,Sheriff,2375,10,2137.5,NA,Immortal,21-25,1363,16,1,1,False
Radiant,Ghost,2975,30,2082.5,Asia,Radiant,26-30,3381,15,1,1,True
Singularity,Ares,2175,10,1957.5,Asia,Radiant,16-20,3154,4,1,0,False
RGX,Operator,2175,10,1957.5,NA,Silver,21-25,1530,8,1,0,True
Mystbloom,Outlaw,2175,0,2175.0,NA,Gold,16-20,3677,9,0,1,False
Ora,Sheriff,2475,0,2475.0,NA,Gold,21-25,974,9,0,1,False
Wasteland,Shorty,1275,30,892.5,EU,Gold,16-20,1085,12,1,1,False
Kuronami,Sheriff,2375,0,2375.0,Asia,Iron,26-30,2915,16,1,1,True
Evori,Melee,4950,10,4455.0,EU,Bronze,16-20,3027,4,1,1,True
Kuronami,Sheriff,2375,0,2375.0,Asia,Radiant,16-20,3863,4,0,1,True
Wasteland,Shorty,1275,30,892.5,Asia,Platinum,26-30,2408,3,1,0,False
Oni,Bulldog,1775,0,1775.0,EU,Bronze,21-25,2691,15,0,1,False
Radiant,Ghost,2975,0,2975.0,NA,Immortal,16-20,1015,4,1,0,False
Overdrive,Stinger,2175,20,1740.0,Asia,Platinum,21-25,1186,7,1,1,True
Reaver,Bandit,1775,30,1242.5,NA,Gold,26-30,896,10,0,0,True
Nocturnum,Marshal,2175,30,1522.5,EU,Radiant,16-20,1177,7,1,1,False
Oni,Bulldog,1775,20,1420.0,NA,Platinum,21-25,2669,14,0,0,True
Mystbloom,Outlaw,2175,0,2175.0,EU,Platinum,16-20,3307,6,0,1,False
RGX,Operator,2175,10,1957.5,EU,Gold,16-20,1942,7,0,1,False
Ora,Sheriff,2475,20,1980.0,EU,Gold,26-30,2164,17,1,1,True
Ion,Bucky,1775,20,1420.0,NA,Diamond,21-25,1380,1,1,0,True
Neptune,Odin,1775,20,1420.0,EU,Platinum,26-30,4574,14,1,1,False
Gaia,Vandal,1775,30,1242.5,EU,Radiant,16-20,4981,10,1,1,True
Spectrum,Phantom,2675,10,2407.5,NA,Radiant,21-25,2622,6,0,1,False
Radiant,Ghost,2975,0,2975.0,Asia,Silver,21-25,3628,15,0,1,False
Spectrum,Phantom,2675,20,2140.0,Asia,Bronze,26-30,1922,19,1,0,True
Glitchpop,Classic,2175,20,1740.0,EU,Silver,21-25,4228,16,0,1,False
Glitchpop,Classic,2175,20,1740.0,EU,Radiant,26-30,3173,12,1,0,False
Mystbloom,Outlaw,2175,30,1522.5,EU,Diamond,16-20,4695,18,0,0,True
Elderflame,Frenzy,2475,10,2227.5,Asia,Iron,21-25,3771,1,0,0,False
Kuronami,Sheriff,2375,30,1662.5,NA,Silver,21-25,4967,17,0,0,False
Overdrive,Stinger,2175,10,1957.5,NA,Bronze,26-30,3205,0,1,1,True
Araxys,Vandal,2175,10,1957.5,NA,Radiant,26-30,4702,14,1,1,True
Radiant,Ghost,2975,20,2380.0,NA,Iron,26-30,3492,11,1,1,False
Neptune,Odin,1775,10,1597.5,Asia,Radiant,16-20,4359,18,1,0,True
Overdrive,Stinger,2175,30,1522.5,Asia,Radiant,21-25,1453,12,1,0,True
Mystbloom,Outlaw,2175,20,1740.0,EU,Bronze,26-30,1424,5,0,0,False
Radiant,Ghost,2975,20,2380.0,NA,Gold,16-20,4159,6,0,1,False
Neptune,Odin,1775,20,1420.0,Asia,Gold,16-20,2712,13,0,0,True
Nocturnum,Marshal,2175,10,1957.5,EU,Platinum,16-20,1394,4,0,1,False
Imperium,Judge,2175,10,1957.5,NA,Diamond,26-30,3123,10,0,1,True
Oni,Bulldog,1775,0,1775.0,Asia,Diamond,21-25,1997,12,1,1,True
Elderflame,Frenzy,2475,0,2475.0,NA,Immortal,26-30,4980,10,0,1,False
Prime,Guardian,1775,30,1242.5,EU,Silver,16-20,4259,12,1,1,True
Oni,Bulldog,1775,30,1242.5,EU,Bronze,26-30,1256,2,1,0,False
Singularity,Ares,2175,20,1740.0,Asia,Radiant,26-30,1283,2,0,1,False
